feed,BabyBirdBlend,BreederAdvance Complete,BreederChoice Complete,BreederElite Complete,BreederOptimal Formula,BreederPerfect Plus,BreederPrime Formula,BreederVital Premium,BroilerBoost Supreme,BroilerBulk Ultra,BroilerCharge Complete,BroilerComplete Plus,BroilerPlus Advanced,ChickBoost Complete,ChickLaunch Pro,ChickStart Plus,ClutchBoost Supreme,ClutchMaster Formula,ClutchPower Premium,DevelopPro Advanced,EarlyGrow Formula,EggBoost Supreme,EggMaster Premium,EggQuality Enhanced,EggStream Formula,EggToChick Plus,EggcellenceBlend,EndStage Enhanced,FastFinish Formula,FeatherFill Premium,FeatherUp Complete,FecundityBoost Complete,FertileEgg Premium,FertileLayer Complete,FertileSupport Enhanced,FertilityMax Formula,FertilityPlus Complete,FinalBoost Premium,FinalPhase Complete,FineMeat Formula,FinishLine Enhanced,FinishPro Supreme,FinishRight Premium,FirstFeather Nutrition,FirstPeck,FledglingBlend,GrowStrong Advanced,GrowthBurst Formula,GrowthFinish Advanced,GrowthMax Complete,HatchMate Premier,HatchMore Premium,HatchPro Complete,HatchRate Pro,HatchSuccess Formula,HatchlingEssentials,JuniorLayer Prep,JuvenileBlend Plus,LastBoost Complete,LastStage Enhanced,LayMore Gold,LayWell Complete,LayerLuxe Complete,LayerProducer Plus,MarketMax Formula,MarketPrep Formula,MarketReady Formula,MatureBlend Complete,MeatMaker Premium,MeatMax Complete,MeatYield Advanced,MidGrow Formula,MidStageNutrition,MuscleBuilder Pro,NestResult Formula,NestStart Gold,OmegaEgg Enhanced,PeakLay Advanced,PeepNourish,PeepStart Max,PerfectFinish Pro,PrimeFinish Complete,ProteinPeak Complete,PulletDevelop Formula,PulletFirst Complete,PulletPower Premium,QuickGrow Formula,RapidGrow Complete,RapidMeat Enhanced,ReadyWeight Complete,ReproMax Enhanced,ReproNutrient Formula,ReproSuccess Formula,ShellBuilder Pro,ShellMax Enhanced,ShellStrength Pro,StartRight Formula,TeenChick Formula,WeightGain Pro,YolkPerfect Premium
BabyBirdBlend,0.9999999999999998,-0.2323606993199954,0.5496371401089658,0.23800198472949585,-0.49809194719453603,-0.13393911390916385,-0.05012384477882088,0.300923423462394,-0.2565426920763387,-0.3412093506069009,0.13985288902806745,-0.04207158796710763,-0.1629087440272542,-0.3281543041974632,-0.4903065175649094,0.37549005507613414,-0.6661840941869,0.2603541269085399,-0.17085640950814293,-0.08357498693531584,0.0769040609955327,0.39641377771480596,-0.4390983617416415,-0.2083731988238,0.1343054553987645,-0.33964178897394387,0.6402860498540899,-0.027519723962703805,-0.1738091234857913,-0.5822819198442456,-0.23707763391365996,0.04517904027779006,-0.6184237652821459,-0.13860998838882152,-0.450848467350023,0.08001230235671747,-0.20708145051963492,-0.09335614823540152,-0.05904382992073782,-0.5089768695961292,0.6840266322188676,0.3174753983862472,-0.1950880486662569,-0.5330803542791749,-0.0753246368320246,-0.24144377196634592,0.1783999348579149,-0.5431145914455835,0.642369713555663,0.03774279766300747,0.43318079227734074,-0.49423773136323035,0.029411024002437995,0.3583277070045608,0.43856666972815816,-0.4400561012667011,0.68392970431082,0.0884774285731205,-0.2481578432371078,-0.11152388433085188,-0.013063814928314326,-0.08143148554127702,0.16289309402775645,-0.12102508839780118,-0.12989159778343287,-0.35222053982812823,-0.3033979007422062,0.6631685620400767,-0.3910189201425281,-0.2339838400803351,0.526616942967637,0.7512497199199097,0.6085454296265373,0.16444092136941865,0.42003541903313324,0.09678711990986272,0.3693549500144147,-0.4749105087508638,0.2652557822104603,-0.04136428937520526,0.5151141384209194,0.5968817444294575,0.40569536826458724,-0.2517935156417785,0.26504265476605576,0.29504635901660603,-0.07836420787836186,-0.6519115575946076,0.06998594272088735,-0.6823757789190918,0.5431869524996674,0.09928738929371463,-0.23554578203461474,-0.08641407207065971,-0.44725817206779367,-0.10312332124556774,-0.16577833359149713,0.02186040313511858,0.17286912237719815,-0.055118043196561606
BreederAdvance Complete,-0.2323606993199954,0.9999999999999999,-0.20676836652145425,-0.3733357415266636,0.3838248907293904,0.5824013919478882,-0.23096328468779814,-0.4207466432298184,0.07220226155710024,0.03041574908950198,-0.2797193942846445,0.16833122087112118,-0.07712538113073995,0.11043153058634943,0.32439751051284,-0.09438925653022433,0.1064029888302789,0.18394136288075735,-0.4174866152021652,-0.28070811292818787,0.41232170878593416,-0.2085970794568762,-0.04523711448704942,0.06351332636274666,0.6125644277989734,0.13531474774149566,-0.15002630566161085,0.3546795094722595,0.22541747745885754,-0.04744993518152333,-0.36264228106973145,-0.4280514641946703,0.4135195822042733,-0.46974316504771163,0.019170786746789764,0.09230413489640532,-0.41073638452041816,0.21136663044751067,-0.16425191239486883,0.08797869606618905,-0.021689044450507552,-0.23430982425243962,0.11508965853428019,0.4756032823251481,-0.3776888718247613,0.17487314905314993,0.14951113506520275,0.15299546612034987,-0.2015422086407904,0.1661592379654796,-0.41328342158276704,0.5203995459429555,-0.32446952811389806,0.1080806457520149,-0.22104113425742183,0.3805998828094882,-0.11329765683386783,0.5353616081133997,-0.5167507823320661,-0.373106812763176,0.43435260931625397,0.2793508115953102,-0.3819656232549278,0.36441902983325336,0.33966084535487817,0.048633180928636804,0.1799729684400534,-0.25966412827428315,-0.055786949697555446,-0.4259159445386084,-0.015698840340236483,-0.16692117819586025,-0.2285300950166591,0.40912116748524424,-0.35233505343959065,0.13568891286013837,-0.09148147452910854,0.16979776210727102,-0.07694730295488476,-0.3306602916357175,-0.10647924100986926,-0.16410379042025103,-0.20903633268290114,-0.2537686974874526,-0.10254196680440576,0.007600376489083796,-0.1664148422523353,0.2134870231980093,0.20588577015856757,0.15344489231557742,-0.2938333113656635,0.41606384235057614,0.32689466640425235,0.06084926057533901,0.009041026651097262,0.03944661717784381,-0.14957713021213187,-0.24279885043078256,-0.3494064374274612,0.17906813794484205
BreederChoice Complete,0.5496371401089658,-0.20676836652145425,0.9999999999999998,0.050725253565778575,-0.6163918175495352,0.14579133477043305,0.12248087526088859,0.40826899258140176,-0.5194950517057397,-0.6233274390669113,0.15027215680339995,-0.28995409536262357,-0.21438154133801204,-0.19479672063756193,-0.8316364646063693,-0.09619441128096583,0.036209481849708784,0.23655194834405063,0.508731247221877,-0.010088581225244569,-0.3909557863121007,-0.15339367185014402,-0.5485318399186454,0.11286421767755127,-0.059970133282283004,-0.8057641767511232,0.7833208048164154,0.4074484919671175,-0.23030750974896358,0.0017689345370571197,-0.6393715525101024,0.30384131057728975,-0.775278744222739,0.12006510264166151,0.18162291800344357,-0.6731646904398848,0.2696583862036849,-0.23245317374768937,-0.5190379702799437,-0.658219807731206,0.7872994538970983,0.2576804841704462,-0.5388891809660319,-0.8368100019100686,-0.3825648826610596,-0.0865577451599424,0.5522118504270022,-0.5946165159015329,0.8292110394498459,-0.11028337426724401,0.004571553011254716,-0.6602452777980441,0.2038811853532722,-0.376803072293239,0.7141309783046248,-0.741075438290991,0.3925581150775288,-0.2019705715194547,-0.0075232164275536246,-0.28888158932902913,-0.5955583637786738,-0.5239046471409836,0.5479590188245559,0.13504967859458852,-0.032193506458802264,-0.810450732920521,0.32032769546240586,0.7333999509720661,-0.46190821353802486,0.014154409167635718,0.7307052004299407,0.8065723779332589,0.8428728272593701,0.25401132309414426,0.6559865812709057,-0.17008151177276096,0.5004167265310406,-0.682405437621891,0.30384238177236506,0.3244390921688689,0.6197752463281906,0.7537320046923591,0.4692498398125829,0.04801525502254395,0.31046568951051956,0.43786770975511474,0.12339397364184895,-0.7404337778086406,0.4112156364023415,-0.5942815539238699,0.5517710710157228,-0.395947892287138,0.17173605579886603,0.025662511404355624,-0.6333912653643811,-0.17884245458850645,-0.5463920234419389,-0.4786517878095494,0.22414761673015324,0.3095204581269569
BreederElite Complete,0.23800198472949585,-0.3733357415266636,0.050725253565778575,0.9999999999999998,0.3238449963072114,-0.38278096746410184,0.13749539310958458,0.1441711951707921,-0.2832406839071049,0.33385601946764243,0.6381655830903367,-0.2966468936439021,0.07286164530920669,-0.17025311404426985,0.30387512971975406,-0.04417316721218304,0.07158749578727767,-0.39089554729971615,0.13593643907913316,-0.4107755113533628,0.11938013230915161,0.40528788112178793,0.18187175890637639,0.13331458457700116,-0.47084501739567614,0.07161752236148894,-0.11053071241090746,-0.25425362204733076,-0.07415838556827425,-0.5683943564136432,0.26537583273850934,-0.2023988166432816,-0.04325885872555833,-0.1043320071829805,-0.34829556653979454,0.09879643485969668,-0.09519915039128994,0.0984656395292694,-0.03828926322884418,0.3919351296491554,-0.06992476037970886,0.7004792158203207,0.37636272321364855,0.013131903970579575,0.30716960602563387,-0.034530396510937145,-0.08361671695552374,-0.3468572620301258,0.10254596415492273,-0.2733712354207851,0.3420512406027104,0.1311856774168943,0.2821016517399419,0.05201400034994455,-0.05454148920808455,0.20683027067484966,-0.11606220330083754,-0.13202761603679594,-0.034047488077306384,-0.13120012419654015,-0.18765898825801,-0.17567648087285925,-0.02604333206028261,-0.15124390624713688,-0.5980421363453118,0.34099685794357626,-0.26230943094081866,-0.09179121217326709,-0.15210048371594342,0.19381230940949837,-0.0617685340490392,0.061802504665770946,-0.12048120882854257,-0.2037083725439451,-0.18029800737807208,0.36771556737344274,0.06080933148068869,-0.22441428126524957,0.019568892922822,-0.5278153529439361,-0.19938567763258253,-0.27797893322740047,0.2769274039141843,0.19463582066629354,-0.22190011998142437,-0.21778397810939099,-0.20978763891126803,0.1040811920382688,-0.4980572325544671,0.23977132384629454,-0.15695934414806723,0.007906188673455553,-0.1878598687431837,0.11150042035476669,0.19689459974092632,-0.10566080046615814,0.3458398222998691,0.24389536409826199,0.3044177971346322,-0.11983586396502727
BreederOptimal Formula,-0.49809194719453603,0.3838248907293904,-0.6163918175495352,0.3238449963072114,1.0000000000000002,0.026667367348233873,0.03411763861483101,-0.1913670136311844,0.03414089708635425,0.5194558409547216,0.21684875345212667,-0.08298772893059944,0.3483679716975651,0.07486296568249341,0.863779212019403,-0.33963550683026367,0.23961273577913197,-0.3084342184639807,-0.26952863927163084,-0.4892967265464492,0.47686191765812397,0.23449555674987382,0.6405880824208073,0.05432398206603405,-0.04537536178746603,0.505927996196716,-0.7407231095509633,-0.26640076932275075,0.17869653698906593,-0.2716853959558094,0.3693932054525117,-0.47179565276515756,0.6937493431430886,-0.23146384326325642,-0.11014038522138352,0.22259758294569806,-0.27572536847082135,0.16608387702825558,0.19207428909095184,0.7334588834070445,-0.7223091506997018,0.13925207223918318,0.7688696453721503,0.7300235306502646,0.25563344178932146,0.24723780106858506,-0.36427965648818944,0.17857153887311034,-0.7008566169415923,-0.23077098138795712,-0.18088588790498009,0.7319951470852795,0.01303769765505392,0.2682610525685152,-0.5129899024132256,0.7066157439893009,-0.6146375534794619,0.1982724551525356,-0.13937429458503942,-0.014989844407327941,0.3818618101201247,0.42538768891138257,-0.5824873918038643,0.2025695124582858,-0.0992601861244507,0.7943398183759475,-0.13138362407401416,-0.7724768152766766,0.04585903998789773,-0.09403126492947425,-0.609016850044525,-0.7258471283180573,-0.6753962544559055,-0.11206518456123914,-0.7663065894398889,0.5369772169589139,-0.4759302610588611,0.13221821546086648,-0.3527410526985473,-0.7305988278401034,-0.4350763206381115,-0.8531889611378964,-0.10826132972381101,0.06924781164406642,-0.3652377062730923,-0.3619020239863906,-0.1774446016510099,0.8178014678465891,-0.43679470304643053,0.7663312505735296,-0.7404959140788021,0.45865397387601015,0.060307790690627944,0.3301847068762015,0.5061893382121854,0.2853504954290179,0.5565329313870142,0.23922556839615072,-0.1564281827162121,-0.20951674185016353
BreederPerfect Plus,-0.13393911390916385,0.5824013919478882,0.14579133477043305,-0.38278096746410184,0.026667367348233873,1.0000000000000002,-0.5641834076002228,-0.25696272549428856,-0.391641147677782,-0.47471572571587506,-0.06505352938347786,-0.3888026048741706,-0.4428530470996135,0.3328607167418342,-0.2180480831557321,-0.1790354746081717,0.3102028141335311,0.3719771352648473,-0.13573364952794467,-0.2434335791534319,-0.02912541519032823,-0.30737693375501046,-0.03556954615449239,0.1611398341372224,0.38970533978108796,-0.3638380762843321,0.06897107383563053,0.3205026626750256,0.5077172369252215,0.28249462048893104,-0.5474911042078088,0.2635481070783357,-0.16900513193485217,-0.14829940883229478,0.3677013741495723,-0.28088490715344394,-0.11276194543274955,0.07419905308257312,-0.3949972518791048,-0.3748745644469845,-0.032476612041343667,-0.14946618385710975,-0.17107919973952723,0.022414924898852672,-0.7346257544912049,0.4693543423665351,0.4784690540684986,-0.16051866647649793,0.08829726953558419,-0.09763284056263971,-0.5582336117455609,-0.13107420560456767,-0.4923417078477238,-0.2583975241755375,0.4415463647589522,-0.30860358531340243,-0.3406961009815411,0.47230123413620134,0.09026621445450615,-0.48862752531897574,-0.15304072468081384,0.013003413286648634,0.32902200733596615,0.29552868660294296,0.438944651633144,-0.23716347980740568,0.40487984183600123,-0.07464315109211159,-0.10868867728851736,0.10491912546688051,0.23932490363985542,-0.0049507128434598865,0.284414806389337,0.22189917136691387,0.2788129206417656,0.22354466565316275,0.02990476789559085,-0.2492762691119123,-0.07786288856927112,-0.019008122709261985,0.34972850291364027,0.017741941317041297,-0.08590062096652795,0.1389519801801643,-0.10975178774068116,0.2615210074527217,0.08844452590189766,0.1170239509991195,0.37420603634549354,0.08579405820201935,-0.0063403718927160305,0.0696836581143113,0.8627538513926221,-0.2314447743120575,-0.5086039315345035,0.38427021389767435,-0.20181260566028197,-0.21328850285716713,-0.677623084142386,-0.05857629014951038
BreederPrime Formula,-0.05012384477882088,-0.23096328468779814,0.12248087526088859,0.13749539310958458,0.03411763861483101,-0.5641834076002228,1.0000000000000002,-0.08259142784310282,0.0844285996032452,0.19815044680105764,-0.3440153729685976,0.1170623559442827,0.29843177422390144,-0.07813331244962042,0.02770534110142469,-0.28184407613755574,0.005347744634775665,-0.653915955616467,0.2710766016264756,-0.00813370423512959,-0.2305935255148787,-0.24736219255863873,0.09037444119965202,0.5041622113758112,-0.4486187705492185,-0.053981621760762474,0.01819878888947586,-0.09814362417737749,-0.5218974704295218,0.04602750723336008,0.061998315700348285,-0.18666322266986038,0.3392373719550011,0.3096849734643209,-0.09554279775170117,-0.4085785702879657,0.35574343718599755,0.21534439388195817,0.09957149337653878,0.35130721968451695,0.11006931151938804,0.14827561991196528,-0.13444965296679642,0.019413677896158586,0.1790113849103302,-0.5876198432098877,-0.04938269284023627,0.29849466873741815,-0.02553522627103333,-0.1806097330890275,0.20362462811332896,0.10060488231013788,0.6820854415948923,-0.15282468680137837,-0.010257548437107633,0.16202547732708988,0.2647944943162956,-0.6278426322934031,-0.20438886513815896,0.3095949521877118,-0.07889975742970655,-0.23205284861407335,-0.07951760264302155,-0.0683044556039509,-0.3329177333833708,-0.025624056560907445,0.0006564534975901432,0.026340479912026683,0.2532487736050159,-0.07784016095205479,-0.07487699652489062,0.09567315949795911,0.08573163692849325,-0.4545822191262484,0.026184063513519786,-0.4572648136970745,0.029216884006031663,-0.039540400090695316,0.006784366226105726,0.051223116861195545,-0.07262956140899045,0.06498377312272474,-0.21468197066486983,0.3015341925627584,0.42255719661900587,-0.43226131428039427,0.30249167877038724,0.07312224025303,0.1380171345285509,0.19678021319806357,-0.16927360411333003,-0.3571182655881102,-0.4977855917869478,0.45643347008726415,0.3846698011704095,-0.29853534920101477,-0.22351539613306368,-0.4762078737824934,0.24307873144294176,-0.018840740126440946
BreederVital Premium,0.300923423462394,-0.4207466432298184,0.40826899258140176,0.1441711951707921,-0.1913670136311844,-0.25696272549428856,-0.08259142784310282,0.9999999999999998,-0.005180472589353821,-0.42860586458190414,0.4645700600163406,-0.14484296108357592,0.5023436624152969,-0.5750547996627283,-0.31947699857040907,-0.010818311924835068,0.01486121870284301,0.3697499766916896,0.44980302296198954,0.3935545448519674,-0.025233310004896564,0.2978018358880422,-0.18640182875331532,-0.564081360565683,-0.24859386259571545,-0.3426308433252972,0.3943423347328149,0.24300398348053398,-0.4178882950725275,-0.0681858633417245,0.08331245641900174,-0.017067990275053423,-0.5645587496799809,0.038943876625352425,0.13433257669678444,-0.1328228902428781,0.0895919028846128,-0.3157967867886177,-0.34718660934817114,-0.36394234427703726,0.20759905211804214,-0.01140280355319199,0.19084462126901547,-0.648601331606511,0.46881670024411715,0.12438426777173228,-0.15234144808352473,-0.5209554131962705,0.36890606515670443,-0.23887358822937396,-0.11765656056394105,-0.32247555381008636,0.2563078237155908,0.034715805129477084,0.031907196509894604,-0.4833507838736006,-0.0003630107620978296,-0.27039252905433997,0.29741561620706813,-0.028780538401579066,-0.20215255746139918,0.2172619749275245,-0.10326532558232,0.14771313830128222,0.3046920190699415,-0.3157050580207758,0.0071874650974888725,0.3691274179942849,-0.6252585433086698,-0.2593725107481848,0.3061935651311886,0.08123194812637713,0.16214111532674344,0.40054975460413145,-0.058154004421398904,0.33775593431386935,-0.018998452889422934,-0.3127340117221072,0.166383807217539,0.27142793409724825,0.3260644282934511,0.2060790237935053,0.7851963318252744,-0.23636348163081428,-0.2337632731699882,0.5339213411624066,0.1250289704917254,-0.336788458169431,-0.1684528008448078,-0.34730467976762674,0.3099730119759848,0.0011491943568477595,-0.09554634587068755,-0.026270308549009004,-0.33928310509501797,-0.03755900708574804,0.17847703015491176,0.1131249816330267,0.535404430347697,0.3117427584275292
BroilerBoost Supreme,-0.2565426920763387,0.07220226155710024,-0.5194950517057397,-0.2832406839071049,0.03414089708635425,-0.391641147677782,0.0844285996032452,-0.005180472589353821,0.9999999999999998,0.15226377096131574,-0.5137735641741308,0.30602861013927074,0.5563446190553074,-0.20945413706804128,0.31159283196905674,0.2798352844736825,-0.09995562842337741,-0.040916955981350395,-0.1948028768489673,0.5705737849578111,-0.006601040209269521,-0.17100811232858043,-0.08101348904673884,-0.20047545099361405,0.016830879209453704,0.44399305524903665,-0.14920987325665508,0.04366921352021171,-0.26981538306722963,0.22244538305057054,0.3062793141033815,-0.4460121039308649,0.4754497209449495,-0.07380700832830872,-0.23964557918750048,0.561394488345663,-0.0741199233276543,0.40723101282425583,0.09516567236338845,0.10014740411399506,-0.1268517438154506,-0.4638426568663121,0.024495032084737876,0.25989002811398343,0.5257279740960593,-0.21106074850649983,-0.4097465151971469,0.5502585376422491,-0.37744847004125415,0.07358190475992879,-0.17054298136234272,0.2767237913169721,0.19160729598545045,0.26809078058574437,-0.635299919078794,0.3368249105592778,0.1081444354897079,-0.08487853475308507,0.03485598510308845,0.3990163129378694,0.40305351341148804,0.37146439564982053,-0.4315882502990809,-0.09529779337122402,0.24054518882057738,0.1710663775755067,-0.26609625024814004,-0.1518195803682375,0.2184246219749812,-0.35931766837980006,-0.1500695417953761,-0.4178025260322308,-0.5018691684450238,0.11396135577921998,-0.4376627999031433,-0.3401986671253398,-0.12195182081036654,0.7712053132575242,0.1585184606044392,0.19917478210075967,-0.3390391400483044,-0.15122154874028748,-0.26788211627646324,-0.20026113335035806,0.018957217522062007,-0.11307763249488098,0.2570764909315737,0.14059091312062566,-0.2766639555869651,-0.027500581583813896,0.12451642756698711,0.20991086174109347,-0.3971374885918655,-0.14350702085899236,0.38175958244985675,-0.19241021608725323,0.04407570855714808,0.07995202251449554,0.20343851867170937,0.16722174457067668
BroilerBulk Ultra,-0.3412093506069009,0.03041574908950198,-0.6233274390669113,0.33385601946764243,0.5194558409547216,-0.47471572571587506,0.19815044680105764,-0.42860586458190414,0.15226377096131574,1.0,0.10783004155462074,0.37205784632646066,0.055380399338227526,0.18717601815382173,0.7269713103833851,-0.04106245058019667,-0.008003004147075887,-0.3739353175608612,-0.22063866868571183,-0.2819995755053235,0.3478980211343887,0.4127657743376768,0.4294557445245275,0.025505962369819665,-0.03423762368323413,0.809829914941689,-0.6843936448011023,-0.5225992929654669,0.27590995034600246,-0.32893231761369895,0.6576301427612694,-0.35912520930426045,0.6615992313757294,-0.1344275587125753,-0.11652523650546671,0.4463960372396404,-0.024898529372444182,-0.14877316968027945,0.6422765641012458,0.8789797594381208,-0.4878117919658922,0.07862716009112948,0.45822805504266756,0.6311997340652936,0.440370467222276,0.052818607066234424,-0.4656906682854056,0.26773800229931705,-0.6217139132858046,0.36822255354415906,0.4370679153004445,0.6633173714574132,-0.12484435158006356,0.2329826968546507,-0.6772386265051666,0.8811157660897615,-0.12712590365162782,-0.019437698011784608,-0.37800272091084863,0.35851869359163463,0.43025304160599837,0.002303925337619769,-0.41788891821494556,-0.33910086098360853,-0.5136284056865565,0.7386700924665162,-0.12047775053938974,-0.5872824492519433,0.39913460886187707,0.14376399106626384,-0.7672546777860755,-0.373207280432118,-0.6739796535490227,-0.2729561102456092,-0.5872359876826925,-0.04662252514147749,-0.10545948583633401,0.35026440132939024,-0.3446787441361926,-0.45167780182867495,-0.8302991242360558,-0.5557778939804904,-0.4006079683363198,-0.24026893830745052,-0.3192267824302799,-0.7174411737852773,-0.6018572989116909,0.39503550771564994,-0.4675387436794826,0.3731587454358484,-0.6274176868015173,0.03690023884118533,-0.35338606640664505,0.21505463517029108,0.8439008748133521,-0.026663713496649893,0.48355693302886793,0.4094848585189863,0.2481947796605158,0.03475573296885626
